Реестровый номер контракта,Ссылка на контракт,Цена контракта,Полное наименование заказчика,Сокращенное наименование заказчика,ИНН,Дата начала исполнения контракта,Дата окончания исполнения контракта,Наименование поставщика,ИНН поставщика,Адрес поставщика,Телефон поставщика,Почта Поставщика,
№ 2770182732021001368,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770182732021001368,"530 000,00 ₽","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ДИРЕКЦИЯ ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ ТРУДА И СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ ГОРОДА МОСКВЫ""","ГКУ ""ДИРЕКЦИЯ ОДОТСЗН Г. МОСКВЫ""",7701827320,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕСТАРТ"" (ООО ""РЕСТАРТ"")",7704481550,"119002, Г МОСКВА 77, УЛ АРБАТ, ДОМ 20, Э/ПОМ/К/ОФ 1/VII/2/105",+7 (926) 453-00-67,evgenlib85@mail.ru,
№ 1971006293921000083,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1971006293921000083,"4 922 124,04 ₽",МИНИСТЕРСТВО НАУКИ И ВЫСШЕГО ОБРАЗОВАНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ,МИНОБРНАУКИ РОССИИ,9710062939,10.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФАСТРОЙСЕРВИС"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФАСТРОЙСЕРВИС"")",7703765782,"107564, Г МОСКВА 77, УЛ КРАСНОБОГАТЫРСКАЯ, ДОМ 2, СТРОЕНИЕ 1, ЭТ 5 ПОМ 13А",7-495-5929192,alfapk@list.ru,
№ 2770912942321000479,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770912942321000479,"2 827 500,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ И.В. ДАВЫДОВСКОГО ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ ИМ. И.В. ДАВЫДОВСКОГО ДЗМ""",7709129423,18.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМ-ПОСТАВКА"" (ООО ""СМ-ПОСТАВКА"")",5038133136,"141260, ОБЛ МОСКОВСКАЯ 50, Г ПУШКИНО, РАБОЧИЙ ПО ПРАВДИНСКИЙ, Ш СТЕПАНЬКОВСКОЕ, ДОМ 39, ПОМЕЩЕНИЕ 7, ОФИС 30",+7 (964) 505-55-64,sm-postavka18@mail.ru,
№ 2772524775221000054,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772524775221000054,"711 760,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""КОЛЛЕДЖ СФЕРЫ УСЛУГ № 32""",ГБПОУ КСУ № 32,7725247752,10.11.21,30.06.22,Перевоз Денис,503204842646,"г. Москва, ул. Грина, д. 18, кв. 132",+7 (915) 435-65-56,den.perevoz@gmail.com,
№ 2772409353121000093,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772409353121000093,"2 993 167,65 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ ОБЪЕДИНЕННЫЙ ХУДОЖЕСТВЕННЫЙ ИСТОРИКО-АРХИТЕКТУРНЫЙ И ПРИРОДНО-ЛАНДШАФТНЫЙ МУЗЕЙ-ЗАПОВЕДНИК""","МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ ОБЪЕДИНЕННЫЙ МУЗЕЙ-ЗАПОВЕДНИК, МГОМЗ",7724093531,10.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОМОСТРОЙ"" (ООО ""ДОМОСТРОЙ"")",7708679671,"107045, Г МОСКВА 77, ПЕР ЛУКОВ, ДОМ 4, ЭТ ПОДВАЛ ПОМ I КОМ 8,РМ1И",+7 (910) 452-60-02,domostroy_patr@mail.ru,
№ 3504701063821000024,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3504701063821000024,"6 350 000,00 ₽",КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГА ХИМКИ МОСКОВСКОЙ ОБЛАСТИ,КУИ АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГА ХИМКИ,5047010638,10.11.21,31.12.21,ПИТИЕВА ЖАННА ИГОРЕВНАИндивидуальный предприниматель,503500694275,"ОБЛ МОСКОВСКАЯ 50, Г ПАВЛОВСКИЙ ПОСАД",7-985-8911979,@,
№ 1772851388221000019,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1772851388221000019,"1 107 155,48 ₽",ФЕДЕРАЛЬНОЕ АГЕНТСТВО ВОДНЫХ РЕСУРСОВ,,7728513882,10.11.21,25.11.21,МЕЛЬВИЛЬ ВЕРОНИКА АЛЕКСАНДРОВНАИндивидуальный предприниматель,312340791414,"ОБЛ. БЕЛГОРОДСКАЯ 31, Г. БЕЛГОРОД",7-985-9994532,tender.melvil@gmail.com,
№ 2772409353121000092,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772409353121000092,"1 004 502,02 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ ОБЪЕДИНЕННЫЙ ХУДОЖЕСТВЕННЫЙ ИСТОРИКО-АРХИТЕКТУРНЫЙ И ПРИРОДНО-ЛАНДШАФТНЫЙ МУЗЕЙ-ЗАПОВЕДНИК""","МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ ОБЪЕДИНЕННЫЙ МУЗЕЙ-ЗАПОВЕДНИК, МГОМЗ",7724093531,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДИАЛАНА"" (ООО ""ДИАЛАНА"")",7718891035,"107589, Г МОСКВА 77, УЛ КРАСНОЯРСКАЯ, ДОМ 17, ПОМЕЩЕНИЕ XV КОМН 2 ОФИС 31",+7 (495) 518-41-84,dialana12@yandex.ru,
№ 2771408263621001320,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771408263621001320,"1 534 543,92 ₽",ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ С.П. БОТКИНА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ,ГБУЗ ГКБ ИМ. С.П. БОТКИНА ДЗМ,7714082636,01.01.22,31.12.22,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСЭНЕРГОСБЫТ"" (АО ""МОСЭНЕРГОСБЫТ"")",7736520080,"117312, Г МОСКВА 77, УЛ ВАВИЛОВА, 9",+7 (499) 550-03-33,zhigovskaya_eg@mosenergosbyt.ru,
№ 3501901095721000026,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3501901095721000026,"1 000 000,00 ₽","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""БАРАБАНОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""","МБОУ ""БАРАБАНОВСКАЯ СОШ""",5019010957,01.01.22,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПЬЮЛИНК ИНФРАСТРУКТУРА КАШИРА"" (ООО ""КОМПЬЮЛИНК ИНФРАСТРУКТУРА КАШИРА"")",5019028390,"142900, ОБЛ МОСКОВСКАЯ 50, Г КАШИРА, УЛ СОВЕТСКАЯ, ДОМ 28, ПОМЕЩЕНИЕ 39",7-495-737-88-66,or_kash@mail.ru,
№ 1770757556721000415,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1770757556721000415,"1 463 627,67 ₽","ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""МЕДИКО-САНИТАРНАЯ ЧАСТЬ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО Г. МОСКВЕ""","ФКУЗ ""МСЧ МВД РОССИИ ПО Г. МОСКВЕ""",7707575567,15.01.22,10.05.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИМАР"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИМАР"")",7840072839,"195274, Г САНКТ-ПЕТЕРБУРГ 78, ПР-КТ ПРОСВЕЩЕНИЯ, ДОМ 53, КОРПУС 4, КВАРТИРА 59",7-921-7479723,m-marimed@yandex.ru,
№ 1770601611821000108,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1770601611821000108,"169 543 733,32 ₽",ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ-ПЕНСИОННЫЙ ФОНД РОССИЙСКОЙ ФЕДЕРАЦИИ,ПФР,7706016118,01.12.21,18.12.23,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕСПАН"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕСПАН"")",7725538261,"115162, Г МОСКВА 77, УЛ МЫТНАЯ, 21",7-495-7213717,ustisio@gmail.com,
№ 2772401520521000541,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772401520521000541,"1 587 991,76 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ДИАГНОСТИЧЕСКИЙ ЦЕНТР (ЦЕНТР ЛАБОРАТОРНЫХ ИССЛЕДОВАНИЙ) ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ДЦЛИ ДЗМ""",7724015205,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМНИМЕДИК"" (ООО ""ОМНИМЕДИК"")",9704005925,"119435, Г МОСКВА 77, ПЕР БОЛЬШОЙ САВВИНСКИЙ, ДОМ 9, СТРОЕНИЕ 2, ЭТАЖ 6 КОМН16",+7 (495) 632-00-61,info@omnimedic.ru,
№ 2772631792421000060,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772631792421000060,"876 436,34 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 98 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ДГП № 98 ДЗМ""",7726317924,01.12.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКОТЕХНОЛОГИЯ"" (ООО ""ЭКОТЕХНОЛОГИЯ"")",7751192330,"108811, Г. МОСКВА 77, КМ КИЕВСКОЕ ШОССЕ 22-Й (П МОСКОВСКИЙ), ДВЛД. 4, СТР. 1, ЭТАЖ 4 БЛОК А",+7 (915) 436-73-61,ecotechnology@internet.ru,
№ 2772401520521000540,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772401520521000540,"2 843 192,64 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ДИАГНОСТИЧЕСКИЙ ЦЕНТР (ЦЕНТР ЛАБОРАТОРНЫХ ИССЛЕДОВАНИЙ) ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ДЦЛИ ДЗМ""",7724015205,15.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМНИМЕДИК"" (ООО ""ОМНИМЕДИК"")",9704005925,"119435, Г МОСКВА 77, ПЕР БОЛЬШОЙ САВВИНСКИЙ, ДОМ 9, СТРОЕНИЕ 2, ЭТАЖ 6 КОМН16",+7 (495) 632-00-61,info@omnimedic.ru,
№ 2772008035521000383,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772008035521000383,"2 221 740,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ Е.О. МУХИНА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ ИМ. Е.О. МУХИНА ДЗМ""",7720080355,10.11.21,31.12.21,КРУГЛОВА ЮЛИЯ ЕВГЕНЬЕВНАИндивидуальный предприниматель,781013137928,Г САНКТ-ПЕТЕРБУРГ 78,+7 (911) 111-11-11,01@yandex.ru,
№ 3501100273921000012,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3501100273921000012,"587 671,54 ₽",МУНИЦИПАЛЬНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №3 С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ ОТДЕЛЬНЫХ ПРЕДМЕТОВ,МОУ СОШ №3 С УИОП,5011002739,10.11.21,31.12.21,БУКРИН БОРИС БОРИСОВИЧИндивидуальный предприниматель,712201908433,"ОБЛ МОСКОВСКАЯ 50, Г ЕГОРЬЕВСК",7-926-8129493,borbuk1965@mail.ru,iluevi@yandex.ru
№ 2770182732021001364,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770182732021001364,"555 555,55 ₽","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ДИРЕКЦИЯ ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ ТРУДА И СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ ГОРОДА МОСКВЫ""","ГКУ ""ДИРЕКЦИЯ ОДОТСЗН Г. МОСКВЫ""",7701827320,08.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НКС ГРУПП"" (ООО ""НКС ГРУПП"")",7702455837,"129110, Г. МОСКВА 77, ПЕР. ОРЛОВО-ДАВЫДОВСКИЙ, Д. 1, ЭТАЖ 1, ПОМЕЩ. III КОМ. 3, ОФИС В15",+7 (963) 777-78-89,nksinfo777@gmail.com,
№ 2770182732021001363,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770182732021001363,"4 800 824,18 ₽","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ДИРЕКЦИЯ ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ ТРУДА И СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ ГОРОДА МОСКВЫ""","ГКУ ""ДИРЕКЦИЯ ОДОТСЗН Г. МОСКВЫ""",7701827320,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГОКОМПЛЕКТАЦИЯ"" (ООО ""ЭНЕРГОКОМПЛЕКТАЦИЯ"")",7719835876,"105318, Г МОСКВА 77, УЛ ИБРАГИМОВА, 35, СТР.2, ПОМЕЩЕНИЕ I; КОМНАТА 14",+7 (495) 944-13-15,stroy-invest-t@bk.ru,
№ 2770182732021001362,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770182732021001362,"870 000,00 ₽","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ДИРЕКЦИЯ ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ ТРУДА И СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ ГОРОДА МОСКВЫ""","ГКУ ""ДИРЕКЦИЯ ОДОТСЗН Г. МОСКВЫ""",7701827320,08.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИКОМ"" (ООО ""ЛИКОМ"")",7743364106,"125130, Г. МОСКВА 77, УЛ. ЗОИ И АЛЕКСАНДРА КОСМОДЕМЬЯНСКИХ, Д. 26/21, СТР. 1, ЭТ/ПОМ 3/III КОМ 6",+7 (977) 270-40-90,Litvinukvu@li-com.ru,
№ 2771408263621001319,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771408263621001319,"4 439 160,00 ₽",ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ С.П. БОТКИНА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ,ГБУЗ ГКБ ИМ. С.П. БОТКИНА ДЗМ,7714082636,08.11.21,31.03.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САЛЮС-ЗДОРОВЬЕ"" (ООО ""САЛЮС-ЗДОРОВЬЕ"")",6722035243,"215010, ОБЛ СМОЛЕНСКАЯ 67, Г ГАГАРИН, ПЕР ПИОНЕРСКИЙ, ДОМ 12, КВАРТИРА 38",+7 (925) 320-99-97,ooosalus-zdorovie@mail.ru,
№ 1771002334021000178,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1771002334021000178,"530 697,20 ₽",УПРАВЛЕНИЕ ДЕЛАМИ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ,УПРАВЛЕНИЕ ДЕЛАМИ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ,7710023340,08.11.21,31.12.21,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГЛАВНЫЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ВЫЧИСЛИТЕЛЬНЫЙ ЦЕНТР"" УПРАВЛЕНИЯ ДЕЛАМИ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ (ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГЛАВНЫЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ВЫЧИСЛИТЕЛЬНЫЙ ЦЕНТР"" УПРАВЛЕНИЯ ДЕЛАМИ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ)",7704030780,"121471, Г МОСКВА 77, УЛ РЯБИНОВАЯ, 43, 1",7-495-6208002,director@grcc.ru,
№ 2771623769121000167,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771623769121000167,"1 175 808,56 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""КОЛЛЕДЖ СОВРЕМЕННЫХ ТЕХНОЛОГИЙ ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА М.Ф. ПАНОВА""",ГБПОУ КСТ,7716237691,15.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КИВОТОС"" (ООО ""КИВОТОС"")",7806250009,"195279, Г. САНКТ-ПЕТЕРБУРГ 78, Ш. РЕВОЛЮЦИИ, Д. 102, ЛИТЕРА А, ПОМЕЩ. 2-Н, ОФИС 112",+7 (812) 456-44-63,ram@kivotos.spb.ru,
№ 2771623769121000166,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771623769121000166,"965 453,76 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""КОЛЛЕДЖ СОВРЕМЕННЫХ ТЕХНОЛОГИЙ ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА М.Ф. ПАНОВА""",ГБПОУ КСТ,7716237691,15.11.21,31.12.21,ВИНТОВКИН РОМАН ОЛЕГОВИЧИндивидуальный предприниматель,421815867070,"ОБЛ КЕМЕРОВСКАЯ 42, Г НОВОКУЗНЕЦК",+7 (929) 342-02-26,vro.ip@mail.ru,
№ 2770213206421000299,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770213206421000299,"9 682 791,48 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""СТАНЦИЯ СКОРОЙ И НЕОТЛОЖНОЙ МЕДИЦИНСКОЙ ПОМОЩИ ИМ. А.С. ПУЧКОВА"" ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ",СС И НМП ИМ. А.С. ПУЧКОВА,7702132064,01.11.21,31.12.23,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОВСКАЯ ОБЪЕДИНЕННАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ"" (ПАО ""МОЭК"")",7720518494,"119526, Г МОСКВА 77, ПР-КТ ВЕРНАДСКОГО, ДОМ 101, КОРПУС 3, ЭТ/КАБ 20/2017",+7 (495) 657-84-52,os7@moek.ru,
№ 2770912396821000424,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770912396821000424,"1 765 252,13 ₽",ГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ МОСКОВСКОЙ ОБЛАСТИ МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ ОБЛАСТНОЙ УНИВЕРСИТЕТ,МГОУ,7709123968,01.01.22,31.12.22,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОВСКАЯ ОБЪЕДИНЕННАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ"" (ПАО ""МОЭК"")",7720518494,"119526, Г МОСКВА 77, ПР-КТ ВЕРНАДСКОГО, ДОМ 101, КОРПУС 3, ЭТ/КАБ 20/2017",8-495-6510610,os6@moek.ru,
№ 2771609955421001246,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771609955421001246,"12 871 145,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА №40 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ №40 ДЗМ""",7716099554,08.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕМЕДИУМ"" (ООО ""РЕМЕДИУМ"")",4632197133,"125466, Г. МОСКВА 77, Ш. НОВОКУРКИНСКОЕ, Д. 39, ЭТАЖ ЦОКОЛЬ ПОМЕЩ. 1 КОМ. 75",+7 (495) 258-87-26,tender2@remedium-opt.ru,
№ 2770912396821000423,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770912396821000423,"1 725 087,17 ₽",ГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ МОСКОВСКОЙ ОБЛАСТИ МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ ОБЛАСТНОЙ УНИВЕРСИТЕТ,МГОУ,7709123968,01.01.22,31.12.22,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОВСКАЯ ОБЪЕДИНЕННАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ"" (ПАО ""МОЭК"")",7720518494,"119526, Г МОСКВА 77, ПР-КТ ВЕРНАДСКОГО, ДОМ 101, КОРПУС 3, ЭТ/КАБ 20/2017",8-495-6510610,os6@moek.ru,
№ 1771005448321000097,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1771005448321000097,"3 561 330,96 ₽",ВЕРХОВНЫЙ СУД РОССИЙСКОЙ ФЕДЕРАЦИИ,ВЕРХОВНЫЙ СУД РОССИЙСКОЙ ФЕДЕРАЦИИ,7710054483,01.12.21,30.12.23,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОБИЛЬНЫЕ ТЕЛЕСИСТЕМЫ"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОБИЛЬНЫЕ ТЕЛЕСИСТЕМЫ"")",7740000076,"109147, Г МОСКВА 77, УЛ МАРКСИСТСКАЯ, 4",7-915-0132925,nasavkin@mts.ru,
