Реестровый номер контракта,Ссылка на контракт,Цена контракта,Полное наименование заказчика,Сокращенное наименование заказчика,ИНН,Дата начала исполнения контракта,Дата окончания исполнения контракта,Наименование поставщика,ИНН поставщика,Адрес поставщика,Телефон поставщика,Почта Поставщика,
№ 2770912942321000477,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770912942321000477,"1 314 636,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ И.В. ДАВЫДОВСКОГО ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ ИМ. И.В. ДАВЫДОВСКОГО ДЗМ""",7709129423,15.11.21,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИОКАРДИУМ"" (ООО ""МИОКАРДИУМ"")",5029261741,"141001, ОБЛ. МОСКОВСКАЯ 50, Г. Мытищи, УЛ. 1-Я ВОКЗАЛЬНАЯ, Д. 8, ПОМЕЩ. 2",+7 (901) 549-36-56,myocardium.tender@mail.ru,
№ 2770302732021000292,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770302732021000292,"2 932 206,16 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ДЕТСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 9 ИМ. Г.Н. СПЕРАНСКОГО ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ДГКБ № 9 ИМ. Г.Н. СПЕРАНСКОГО ДЗМ""",7703027320,08.11.21,21.10.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНКОР"" (ООО ""АНКОР"")",7725774893,"115419, Г. МОСКВА 77, УЛ. ОРДЖОНИКИДЗЕ, Д. 11, СТР. 10, ЭТАЖ 1, ПОМЕЩ. V КОМ. 11",+7 (495) 333-90-10,ankor_med@mail.ru,
№ 2772719662321000102,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772719662321000102,"786 000,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""КОНСУЛЬТАТИВНО-ДИАГНОСТИЧЕСКАЯ ПОЛИКЛИНИКА № 121 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""КДП №121 ДЗМ""",7727196623,09.11.21,31.12.21,БУМАГИН АЛЕКСАНДР АНДРЕЕВИЧИндивидуальный предприниматель,770502788808,Г МОСКВА 77,+7 (903) 611-14-67,aroma001@mail.ru,
№ 2770701146521000436,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770701146521000436,"1 251 070,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 24 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ № 24 ДЗМ""",7707011465,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РАДУГАТРЕЙДИНГ"" (ООО ""РТ"")",7733885798,"125466, Г МОСКВА 77, УЛ ЮРОВСКАЯ, ДОМ 92, ПОМЕЩЕНИЕ I КОМН 40",+7 (499) 649-12-09,radugatrading@mail.ru,
№ 3500600191621000070,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3500600191621000070,"629 888,07 ₽",АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА КРАСНОЗНАМЕНСК МОСКОВСКОЙ ОБЛАСТИ,АДМИНИСТРАЦИЯ ГОРОДА,5006001916,08.11.21,30.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗЕЛЕНИНВЕСТ СТРОЙ"" (ООО ""ЗЕЛЕНИНВЕСТ СТРОЙ"")",9718082616,"107150, Г МОСКВА 77, Б-Р МАРШАЛА РОКОССОВСКОГО, ДОМ 26, СТРОЕНИЕ 2",7-495-7736445,7736545@mail.ru,
№ 2771501166021000005,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771501166021000005,"1 214 640,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ГОРОДА МОСКВЫ ""ДЕТСКАЯ МУЗЫКАЛЬНАЯ ШКОЛА ИМЕНИ А.Т. ГРЕЧАНИНОВА""","ГБУДО Г. МОСКВЫ ""ДМШ ИМ. А.Т. ГРЕЧАНИНОВА""",7715011660,01.01.22,31.12.23,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСЭНЕРГОСБЫТ"" (АО ""МОСЭНЕРГОСБЫТ"")",7736520080,"117312, Г МОСКВА 77, УЛ ВАВИЛОВА, 9",+7 (499) 550-03-33,zhigovskaya_eg@mosenergosbyt.ru,
№ 2770912942321000476,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770912942321000476,"631 665,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ И.В. ДАВЫДОВСКОГО ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ ИМ. И.В. ДАВЫДОВСКОГО ДЗМ""",7709129423,15.11.21,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ППП "" (ООО ""ППП "")",1656015210,"420126, РЕСП ТАТАРСТАН 16, Г КАЗАНЬ, УЛ ФАТЫХА АМИРХАНА, 12А",+7 (843) 525-05-25,pppkazan@mail.ru,
№ 2771678959721000104,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771678959721000104,"7 744 024,82 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЛОСИНООСТРОВСКОГО РАЙОНА""","ГБУ ""ЖИЛИЩНИК ЛОСИНООСТРОВСКОГО РАЙОНА""",7716789597,01.01.22,31.12.24,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ДОМСЕРВИС"" (ООО УК ""ДОМСЕРВИС"")",7709700887,"125239, Г МОСКВА 77, ПРОЕЗД ЧЕРЕПАНОВЫХ, ДОМ 18, КОМ 1 ЭТАЖ 1",+7 (499) 153-12-97,domservisuk@gmail.com,
№ 3501601085321000010,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3501601085321000010,"2 040 000,00 ₽","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ИВАНТЕЕВКА МОСКОВСКОЙ ОБЛАСТИ ""ДЕТСКИЙ САД ОБЩЕРАЗВИВАЮЩЕГО ВИДА №1 ""ЛУЧИК""","МБДОУ ""ДЕТСКИЙ САД №1 ""ЛУЧИК""",5016010853,01.01.22,31.12.23,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ ""ГАРАНТ СЕКЬЮРИТИ"" (ООО ""ЧОП ""ГАРАНТ СЕКЬЮРИТИ"")",7714778913,"125565, Г МОСКВА 77, Ш ЛЕНИНГРАДСКОЕ, ДОМ 64, КОРПУС 3, ЭТ 1 ПОМ 1 КОМ 52",7-495-6863458,georg987@mail.ru,
№ 3503100604021000161,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3503100604021000161,"6 800 000,00 ₽",АДМИНИСТРАЦИЯ БОГОРОДСКОГО ГОРОДСКОГО ОКРУГА МОСКОВСКОЙ ОБЛАСТИ,АДМИНИСТРАЦИЯ БОГОРОДСКОГО ГОРОДСКОГО ОКРУГА,5031006040,08.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОПОЛИС-ГЕО"" (ООО ""ТЕХНОПОЛИС-ГЕО"")",7720492824,"144009, ОБЛ МОСКОВСКАЯ 50, Г ЭЛЕКТРОСТАЛЬ, УЛ ЮБИЛЕЙНАЯ, ДОМ 13, ПОМ/ЭТ/КОМ 08/1/2",7-926-5960700,bogorodskoeakb@gmail.com,
№ 3500302154421000011,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3500302154421000011,"3 123 524,24 ₽","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ВИДНОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 5 С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ ОТДЕЛЬНЫХ ПРЕДМЕТОВ""","МБОУ ""ВИДНОВСКАЯ СОШ № 5 С УИОП""",5003021544,08.11.21,31.12.21,СОРОКОЛЕТОВА МАРИЯ ВИКТОРОВНАИндивидуальный предприниматель,384901525899,"ОБЛ ИРКУТСКАЯ 38, Г ИРКУТСК",7-902-1768894,m_sorokoletova@bk.ru,
№ 2772131413321000064,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772131413321000064,"1 202 781,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КУЗЬМИНКИ""","ГБУ ""ЖИЛИЩНИК РАЙОНА КУЗЬМИНКИ""",7721314133,10.11.21,20.12.21,КОМКОВ ДМИТРИЙ АЛЕКСЕЕВИЧИндивидуальный предприниматель,673205333208,"ОБЛ СМОЛЕНСКАЯ 67, Г СМОЛЕНСК",+7 (960) 592-03-39,komkov.dis@gmail.com,
№ 3500110667221000147,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3500110667221000147,"3 642 763,45 ₽",АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА БАЛАШИХА,АДМИНИСТРАЦИЯ ГО БАЛАШИХА,5001106672,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРТСТРОЙ"" (ООО ""АРТСТРОЙ"")",9717038413,"127422, Г МОСКВА 77, УЛ ТИМИРЯЗЕВСКАЯ, ДОМ 2/3, ПОМЕЩЕНИЕ XXV КОМНАТА 3 (Б,В) ЭТАЖ 5",7-926-6889909,6889909@list.ru,
№ 2770213206421000298,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770213206421000298,"1 487 684,88 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""СТАНЦИЯ СКОРОЙ И НЕОТЛОЖНОЙ МЕДИЦИНСКОЙ ПОМОЩИ ИМ. А.С. ПУЧКОВА"" ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ",СС И НМП ИМ. А.С. ПУЧКОВА,7702132064,01.03.22,31.03.23,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ ""РАДУГА"" (ООО""ЧОП""РАДУГА"")",7726550800,"115114, Г МОСКВА 77, НАБ ДЕРБЕНЕВСКАЯ, ДОМ 11, ЭТ 1 ПОМ 104",+7 (495) 781-47-89,stas@pcnraduga.ru,
№ 2771433860921008492,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771433860921008492,"1 876 976,64 ₽","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""АГЕНТСТВО ПО ЗАКУПКАМ (КОНТРАКТНАЯ СЛУЖБА) ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""",ГКУ АЗ (КС) ДЗМ,7714338609,08.11.21,30.12.21,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФАРМСТАНДАРТ"" (АО ""ФАРМСТАНДАРТ"")",274110679,"141701, ОБЛ МОСКОВСКАЯ 50, Г ДОЛГОПРУДНЫЙ, ПРОЕЗД ЛИХАЧЕВСКИЙ, 5, ""Б""",+7 (495) 970-90-30,ookiryushina@pharmstd.ru,
№ 2771433860921008491,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771433860921008491,"516 000,24 ₽","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""АГЕНТСТВО ПО ЗАКУПКАМ (КОНТРАКТНАЯ СЛУЖБА) ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""",ГКУ АЗ (КС) ДЗМ,7714338609,08.11.21,30.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИПАЛ-ОНКО"" (ООО ""МЕДИПАЛ-ОНКО"")",7701213835,"105082, Г МОСКВА 77, УЛ ФРИДРИХА ЭНГЕЛЬСА, ДОМ 75, СТРОЕНИЕ 21, ОФИС 216",+7 (495) 662-84-94,shatalova@medipal-onko.ru,
№ 2772308493621000654,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772308493621000654,"2 842 591,20 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ В.П. ДЕМИХОВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ ИМЕНИ В.П. ДЕМИХОВА ДЗМ""",7723084936,10.01.22,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРТОКАРД"" (ООО ""ОРТОКАРД"")",7731631100,"127238, Г МОСКВА 77, ПРОЕЗД ИЛЬМЕНСКИЙ, ДОМ 13, СТРОЕНИЕ 1, КОМНАТА  14",+7 (499) 488-24-95,ortocard@mail.ru,
№ 2504501555021000062,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2504501555021000062,"892 640,25 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ДОМ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ ""СТУПИНО"" ДЕПАРТАМЕНТА ТРУДА И СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ ГОРОДА МОСКВЫ","ГБУ СОЦИАЛЬНЫЙ ДОМ ""СТУПИНО""",5045015550,11.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИСТ"" (ООО ""ЛИСТ"")",3665125125,"394040, ОБЛ ВОРОНЕЖСКАЯ 36, Г ВОРОНЕЖ, УЛ ЗАЩИТНИКОВ РОДИНЫ, ДОМ 3 Б, ОФИС 5",+7 (960) 115-33-53,ooo.list@inbox.ru,
№ 2772308493621000653,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772308493621000653,"2 999 500,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ В.П. ДЕМИХОВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ ИМЕНИ В.П. ДЕМИХОВА ДЗМ""",7723084936,10.01.22,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДРЕСУРС"" (ООО ""МЕДРЕСУРС"")",5017083029,"143500, ОБЛ МОСКОВСКАЯ 50, Г ИСТРА, УЛ МАЯКОВСКОГО, ДОМ 17А",+7 (495) 783-21-81,e.gubarzhevskaya@mosmedresurs.ru,
№ 2771303416421000624,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771303416421000624,"656 426,10 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ В.В. ВЕРЕСАЕВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ ИМ. В.В. ВЕРЕСАЕВА ДЗМ""",7713034164,01.01.22,31.12.22,ЯКОВЛЕВ ВЛАДИМИР ГЕННАДЬЕВИЧИндивидуальный предприниматель,502502629495,"ОБЛ МОСКОВСКАЯ 50, Г ЛОБНЯ",+7 (916) 681-94-94,6819494@gmail.com,
№ 2771303416421000623,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771303416421000623,"1 595 583,50 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ В.В. ВЕРЕСАЕВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ ИМ. В.В. ВЕРЕСАЕВА ДЗМ""",7713034164,15.11.21,31.12.21,КОМАРОВ ДМИТРИЙ ЕВГЕНЬЕВИЧИндивидуальный предприниматель,780430549949,Г САНКТ-ПЕТЕРБУРГ 78,+7 (910) 439-78-58,toxeen@gmail.com,
№ 2772308493621000652,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772308493621000652,"2 460 000,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ В.П. ДЕМИХОВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ ИМЕНИ В.П. ДЕМИХОВА ДЗМ""",7723084936,10.01.22,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВНЕШПРОМФАРМ"" (ООО ""ВНЕШПРОМФАРМ"")",7751054034,"108811, Г МОСКВА 77, Г МОСКОВСКИЙ, УЛ РАДУЖНАЯ, ДОМ 21, ПОМЕЩЕНИЕ IX",+7 (910) 400-60-40,alvoron@mail.ru,
№ 2772603323121000064,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2772603323121000064,"772 172,72 ₽",ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ПСИХОНЕВРОЛОГИЧЕСКИЙ ИНТЕРНАТ №30 ДЕПАРТАМЕНТА ТРУДА И СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ ГОРОДА МОСКВЫ,ГБУ ПНИ №30,7726033231,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИДЕОЛАЙН"" (ООО ""ВИДЕОЛАЙН"")",7701522223,"105082, Г. МОСКВА 77, УЛ. БОЛЬШАЯ ПОЧТОВАЯ, Д. 38, СТР. 5, ОФИС 42",+7 (906) 701-19-90,vila44223@gmail.com,
№ 1772908209021000500,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1772908209021000500,"3 851 888,63 ₽","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ М.В.ЛОМОНОСОВА""","МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ М.В.ЛОМОНОСОВА, МГУ ИМЕНИ М.В.ЛОМОНОСОВА, МОСКОВСКИЙ УНИВЕРСИТЕТ ИЛИ МГУ",7729082090,08.11.21,06.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДГОССНАБ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДГОССНАБ"")",7736562266,"119526, Г МОСКВА 77, ПР-КТ ЛЕНИНСКИЙ, ДОМ 146, ОФИС 346",7-499-7550250,Medgossnab@mail.ru,
№ 2773506919221000563,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2773506919221000563,"512 244,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ М.П. КОНЧАЛОВСКОГО ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ ИМ. М.П. КОНЧАЛОВСКОГО ДЗМ""",7735069192,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕНИТЕКС"" (ООО ""ВЕНИТЕКС"")",7743234629,"125167, Г МОСКВА 77, ПР-КТ ЛЕНИНГРАДСКИЙ, ДОМ 37, КОРПУС 9, ПОМЕЩЕНИЕ XXIIIКОМ 29-30 ЭТ 3",+7 (495) 721-81-17,info@veniteks.ru,
№ 3504701063821000023,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3504701063821000023,"5 944 107,50 ₽",КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГА ХИМКИ МОСКОВСКОЙ ОБЛАСТИ,КУИ АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГА ХИМКИ,5047010638,09.11.21,31.12.21,Гантц Станислав ВладимировичИндивидуальный предприниматель,691007638750,"Область Тверская 69, Город Кимры",7-903-5725525,gantssv@gmail.com,
№ 2771596681421000159,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771596681421000159,"38 796 631,31 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ МЕДВЕДКОВО""","ГБУ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ МЕДВЕДКОВО""",7715966814,01.01.22,31.12.24,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ДОМСЕРВИС"" (ООО УК ""ДОМСЕРВИС"")",7709700887,"125239, Г МОСКВА 77, ПРОЕЗД ЧЕРЕПАНОВЫХ, ДОМ 18, КОМ 1 ЭТАЖ 1",+7 (499) 153-12-97,domservisuk@gmail.com,
№ 1770721078121000127,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1770721078121000127,"2 000 000,00 ₽",АППАРАТ ГОСУДАРСТВЕННОЙ ДУМЫ ФЕДЕРАЛЬНОГО СОБРАНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ,,7707210781,01.12.21,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЯ САЙТСОФТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЯ САЙТСОФТ"")",6672286746,"105082, Г МОСКВА 77, ПЛ СПАРТАКОВСКАЯ, 14, СТРОЕНИЕ 2",7-495-6639365,torgi@sitesoft.ru,
№ 2770912942321000475,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770912942321000475,"1 351 705,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ И.В. ДАВЫДОВСКОГО ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ ИМ. И.В. ДАВЫДОВСКОГО ДЗМ""",7709129423,11.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИНС"" (ООО ""МЕДИНС"")",7842018361,"191036, Г САНКТ-ПЕТЕРБУРГ 78, УЛ 8-Я СОВЕТСКАЯ, ДОМ 16/25, ЛИТЕР А, ПОМЕЩЕНИЕ 14-Н",+7 (931) 351-58-28,medins.spb@gmail.com,
№ 1504505517521000042,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1504505517521000042,"516 000,00 ₽","ЦЕНТР ОБЕСПЕЧЕНИЯ ИНФОРМАЦИЕЙ ""ЭНЕРГИЯ"" ФЕДЕРАЛЬНОЙ СЛУЖБЫ ОХРАНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ","ЦОИ ""ЭНЕРГИЯ"" ФСО РОССИИ",5045055175,01.12.21,31.12.22,"МАКРОРЕГИОНАЛЬНЫЙ ФИЛИАЛ ""ЦЕНТР"" ПАО ""РОСТЕЛЕКОМ""",7707049388,"123298, Г МОСКВА 77, УЛ ХОРОШЕВСКАЯ 3-Я, ДОМ 17, КОРПУС 1",8-495-8555280,rostel@mail.ru,
