Реестровый номер контракта,Ссылка на контракт,Цена контракта,Полное наименование заказчика,Сокращенное наименование заказчика,ИНН,Дата начала исполнения контракта,Дата окончания исполнения контракта,Наименование поставщика,ИНН поставщика,Адрес поставщика,Телефон поставщика,Почта Поставщика,
№ 2771825895421000096,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771825895421000096,"1 680 000,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СОКОЛЬНИКИ""","ГБУ ""ЖИЛИЩНИК РАЙОНА СОКОЛЬНИКИ""",7718258954,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТПК ""СЭТ"" (ООО ""ТПК ""СЭТ"")",7719840178,"105523, Г МОСКВА 77, Ш ЩЁЛКОВСКОЕ, ДОМ 100, КОРПУС 3, ОФИС 27",+7 (499) 702-40-78,info@tpk-set.ru,
№ 2507406918021000227,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2507406918021000227,"1 295 406,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""ПОДОЛЬСКАЯ ОБЛАСТНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА""","ГБУЗ МО ""ПОКБ""",5074069180,09.11.21,31.01.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДРЕСУРС"" (ООО ""МЕДРЕСУРС"")",5017083029,"143500, ОБЛ МОСКОВСКАЯ 50, Г ИСТРА, УЛ МАЯКОВСКОГО, ДОМ 17А",7-495-7832181,info@mosmedresurs.ru,
№ 3500900589121000270,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3500900589121000270,"2 946 043,75 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""ДОМОДЕДОВСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА""","ГБУЗ МО ""ДЦГБ""",5009005891,08.11.21,31.01.23,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЕЛИОС"" (ООО ""ГЕЛИОС"")",7701364129,"105062, Г МОСКВА 77, УЛ ПОКРОВКА, ДОМ 41, СТРОЕНИЕ 2, ПОМЕЩЕНИЕ III КАБИНЕТ 1",74959787531,gelios177@gmail.com,
№ 1773458113621000484,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1773458113621000484,"136 232 000,00 ₽","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ГОСУДАРСТВЕННЫЙ НАУЧНЫЙ ЦЕНТР РОССИЙСКОЙ ФЕДЕРАЦИИ - ФЕДЕРАЛЬНЫЙ МЕДИЦИНСКИЙ БИОФИЗИЧЕСКИЙ ЦЕНТР ИМЕНИ А.И. БУРНАЗЯНА""",ФГБУ ГНЦ ФМБЦ ИМ. А.И. БУРНАЗЯНА ФМБА РОССИИ,7734581136,09.11.21,01.07.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЬЮМЕДТЕХ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЬЮМЕДТЕХ"")",9705122220,"111033, Г МОСКВА 77, УЛ ВОЛОЧАЕВСКАЯ, ДОМ 40Г, СТРОЕНИЕ 4, ПОМЕЩЕНИЕ 1.16 ЭТАЖ 1",8-495-7084225,torg@nmtg.ru,
№ 2770182732021001355,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770182732021001355,"2 337 230,00 ₽","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ДИРЕКЦИЯ ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ ТРУДА И СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ ГОРОДА МОСКВЫ""","ГКУ ""ДИРЕКЦИЯ ОДОТСЗН Г. МОСКВЫ""",7701827320,08.11.21,31.12.21,ТАГИРОВА ЛИЛИЯ ИЗМАЙЛОВНАИндивидуальный предприниматель,330108753279,"ОБЛ ВЛАДИМИРСКАЯ 33, Г АЛЕКСАНДРОВ",+7 (925) 568-26-68,lt8530919@gmail.com,
№ 2770182732021001354,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770182732021001354,"12 310 000,00 ₽","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ДИРЕКЦИЯ ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ ТРУДА И СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ ГОРОДА МОСКВЫ""","ГКУ ""ДИРЕКЦИЯ ОДОТСЗН Г. МОСКВЫ""",7701827320,08.11.21,30.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНДОЛАЙТ ЦЕНТР"" (ООО ""ЭНДОЛАЙТ ЦЕНТР"")",7723584431,"109548, Г МОСКВА 77, ПРОЕЗД ПРОЕКТИРУЕМЫЙ 4586-Й, ДОМ 4, СТРОЕНИЕ 13, ЭТ 2 КОМ 28 ОФ 9",+7 (495) 787-52-80,irina@endolite.ru,
№ 3500302171321000007,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3500302171321000007,"585 000,00 ₽","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД № 41 ""РАДУГА""","МБДОУ ""Д/С № 41 ""РАДУГА""",5003021713,01.01.22,31.12.22,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСЭНЕРГОСБЫТ"" (АО ""МОСЭНЕРГОСБЫТ"")",7736520080,"117312, Г МОСКВА 77, УЛ ВАВИЛОВА, 9",7-499-5500333,info@mosenergosbyt.ru,
№ 2770182732021001353,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770182732021001353,"671 016,67 ₽","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ДИРЕКЦИЯ ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ ТРУДА И СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ ГОРОДА МОСКВЫ""","ГКУ ""ДИРЕКЦИЯ ОДОТСЗН Г. МОСКВЫ""",7701827320,08.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОТЕХМЕД"" (ООО ""ПРОТЕХМЕД"")",7751189916,"108811, Г. МОСКВА 77, ПОС. Московский, УЛ. САЛАРЬЕВСКАЯ, Д. 14, К. 2, КВ. 145",+7 (925) 004-97-50,protexmed@mail.ru,
№ 2771034267521000021,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771034267521000021,"1 492 510,50 ₽",ПРЕДСТАВИТЕЛЬСТВО ТОМСКОЙ ОБЛАСТИ ПРИ ПРАВИТЕЛЬСТВЕ РФ,ПРЕДСТАВИТЕЛЬСТВО,7710342675,01.01.22,31.07.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАТНЕФТЬ-АЗС-ЗАПАД"" (ООО ""ТН-АЗС-ЗАПАД"")",5009053687,"121205, Г МОСКВА 77, ТЕР СКОЛКОВО ИННОВАЦИОННОГО ЦЕНТРА, Б-Р БОЛЬШОЙ, ДОМ 62, ЭТАЖ 2 ПОМ 56",(495) 280-13-47,tender@msk.tatneft.ru,
№ 1772801635121000539,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1772801635121000539,"1 006 729,34 ₽","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ЭНДОКРИНОЛОГИИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ","ФГБУ ""НМИЦ ЭНДОКРИНОЛОГИИ"" МИНЗДРАВА РОССИИ",7728016351,09.11.21,17.01.23,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДПАРТНЕР"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДПАРТНЕР"")",9721089700,"109431, Г МОСКВА 77, УЛ ПРИВОЛЬНАЯ, ДОМ 70, ПОМ XXIX ЭТ 6 КОМ 24",7-495-7000300,med_partner@bk.ru,
№ 1771808396921000433,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1771808396921000433,"1 303 950,00 ₽","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КЛИНИЧЕСКАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ДЕЛАМИ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ","ФГБУ ""КЛИНИЧЕСКАЯ БОЛЬНИЦА""",7718083969,08.11.21,31.12.21,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""МЕЖБОЛЬНИЧНАЯ АПТЕКА"" УПРАВЛЕНИЯ ДЕЛАМИ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ (ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""МЕЖБОЛЬНИЧНАЯ АПТЕКА"" УПРАВЛЕНИЯ ДЕЛАМИ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ)",7729101120,"121471, Г МОСКВА 77, УЛ РЯБИНОВАЯ, ДОМ 43",7-495-4475575,mba@pmc.ru,
№ 2500506424721000304,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2500506424721000304,"548 892,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""ВОСКРЕСЕНСКАЯ ПЕРВАЯ РАЙОННАЯ БОЛЬНИЦА""","ГБУЗ МО ""ВПРБ""",5005064247,01.01.22,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МС ГРУПП"" (ООО ""МС ГРУПП"")",5036106240,"142103, ОБЛ МОСКОВСКАЯ 50, Г ПОДОЛЬСК, УЛ ЖЕЛЕЗНОДОРОЖНАЯ, ДОМ 1, СТРОЕНИЕ 4 СКЛАДСКОЙ КОМПЛЕКС, ПОЕЩЕНИЕ 5 ЧАСТЬ",7-495-6416117,ms_groupe@mail.ru,
№ 3501101980621000407,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3501101980621000407,"5 750 046,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""ЕГОРЬЕВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""","ГБУЗ МО ""ЕГОРЬЕВСКАЯ ЦРБ""",5011019806,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГУД ДИСТРИБЬЮШН ПАРТНЕРС"" (ООО ""ДЖИ ДИ ПИ"")",9705031526,"115093, Г МОСКВА 77, ПЕР 1-Й ЩИПКОВСКИЙ, ДОМ 25",7-495-7978686,novruzova.s.e@366.ru, karpova.a.a@366.ru
№ 1771203845521000186,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1771203845521000186,"1 477 280,00 ₽","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МОСКОВСКИЙ АВИАЦИОННЫЙ ИНСТИТУТ (НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ УНИВЕРСИТЕТ)""",МАИ,7712038455,08.11.21,31.08.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОФД-СОФТЛАЙН"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОФД-СОФТЛАЙН"")",3662242293,"394026, ОБЛ ВОРОНЕЖСКАЯ 36, Г ВОРОНЕЖ, ПР-КТ МОСКОВСКИЙ, ДОМ 11, ПОМЕЩЕНИЕ I В ЛИТ. 6А, ОФИС 138",7-495-2320023,Lyudmila.Prudchenko@softline.com,
№ 2771609955421001231,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2771609955421001231,"7 099 820,00 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА №40 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ГКБ №40 ДЗМ""",7716099554,09.11.21,31.12.21,АКЦИОНЕРНОЕ ОБЩЕСТВО «ФРЕЗЕНИУС СП» (АО «ФРЕЗЕНИУС СП»),7736045187,"115088, Г МОСКВА 77, УЛ УГРЕШСКАЯ, 2, СТР.6, КОМН.09",+7 (495) 789-64-54,alex.sukach@fmc-ag.ru,
№ 1971006293921000078,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1971006293921000078,"14 997 855,00 ₽",МИНИСТЕРСТВО НАУКИ И ВЫСШЕГО ОБРАЗОВАНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ,МИНОБРНАУКИ РОССИИ,9710062939,08.11.21,31.03.22,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕЛОС КОНСАЛТИНГ"" (АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕЛОС КОНСАЛТИНГ"")",7734505551,"123154, Г МОСКВА 77, Б-Р ГЕНЕРАЛА КАРБЫШЕВА, ДОМ 5, КОРПУС 2, ПОМ II 1 ЭТАЖ ОФИС 1/7Г",7-495-9214111,milyukova@telos-archive.ru,
№ 1504605066021000337,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1504605066021000337,"762 550,00 ₽",ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ БОЛЬНИЦА РОССИЙСКОЙ АКАДЕМИИ НАУК (Г. ТРОИЦК),БОЛЬНИЦА РАН (Г. ТРОИЦК),5046050660,09.11.21,17.01.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОМАНОВ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОМАНОВ"")",7715865284,"127322, Г МОСКВА 77, УЛ ДОБРОЛЮБОВА, ДОМ 29/16, ЭТ 2 ПОМ 35 ОФ 26",7-499-1104079,romanov-ooo@yandex.ru,
№ 2770911213021000060,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770911213021000060,"1 638 200,00 ₽",ПРЕФЕКТУРА ЦЕНТРАЛЬНОГО АДМИНИСТРАТИВНОГО ОКРУГА ГОРОДА МОСКВЫ,,7709112130,08.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТАТУС КОМПЛАЙНС"" (ООО ""СТАТУС КОМПЛАЙНС"")",7719404118,"107023, Г МОСКВА 77, УЛ БОЛЬШАЯ СЕМЁНОВСКАЯ, ДОМ 45",+7 (495) 225-48-10,s.karyaka@status-it.com,
№ 1503800814221000247,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1503800814221000247,"7 050 000,00 ₽","ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛЬНАЯ БАЗА АВИАЦИОННОЙ ОХРАНЫ ЛЕСОВ ""АВИАЛЕСООХРАНА""","ФБУ ""АВИАЛЕСООХРАНА""",5038008142,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОМАРКЕТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОМАРКЕТ"")",6660068398,"620034, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, УЛ БЕБЕЛЯ, СТРОЕНИЕ 11, ОФИС 36",7-343-2637807,technomarket@e1.ru,
№ 2770404312321000032,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770404312321000032,"2 301 000,00 ₽",МОСКОВСКИЙ ГОРОДСКОЙ ФОНД ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ,МГФОМС,7704043123,08.11.21,31.12.21,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДИАЛОГНАУКА"" (АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДИАЛОГНАУКА"")",7701102564,"105066, Г МОСКВА 77, ПРОЕЗД ЕЛОХОВСКИЙ, ДОМ 3, СТРОЕНИЕ 2",7-495-9806776,info@dialognauka.ru,
№ 3505008428421000083,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3505008428421000083,"2 682 000,00 ₽","МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ЩЁЛКОВО ""СЛУЖБА ОЗЕЛЕНЕНИЯ И БЛАГОУСТРОЙСТВА""","МУ ГОЩ ""СЛУЖБА ОЗЕЛЕНЕНИЯ И БЛАГОУСТРОЙСТВА""",5050084284,09.11.21,31.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТПК ""РУССКАЯ ЁЛКА"" (ООО ""ТПК ""РУССКАЯ ЁЛКА"")",5022067030,"140411, ОБЛ МОСКОВСКАЯ 50, Г КОЛОМНА, УЛ ОГОРОДНАЯ, 87",7-496-6122337,elkarus2009@mail.ru,
№ 2507406918021000225,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2507406918021000225,"1 483 362,19 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""ПОДОЛЬСКАЯ ОБЛАСТНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА""","ГБУЗ МО ""ПОКБ""",5074069180,09.11.21,31.01.22,ЧЕХЛОВА НУРИЯ РАСИХОВНАИндивидуальный предприниматель,772606995714,Г. МОСКВА 77,7-906-6434400,ip.chehlova.nr@gmail.ru,
№ 1773452141921000131,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1773452141921000131,"70 000 000,00 ₽",ФЕДЕРАЛЬНОЕ МЕДИКО-БИОЛОГИЧЕСКОЕ АГЕНТСТВО,ФМБА РОССИИ,7734521419,09.11.21,31.12.24,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОСУДАРСТВЕННЫЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ БИОЛОГИЧЕСКОГО ПРИБОРОСТРОЕНИЯ"" (ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОСУДАРСТВЕННЫЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ БИОЛОГИЧЕСКОГО ПРИБОРОСТРОЕНИЯ"")",7733019171,"125424, Г МОСКВА 77, Ш ВОЛОКОЛАМСКОЕ, 75, 1",7-495-4917372,niibp@dol.ru,
№ 2770206615721000572,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770206615721000572,"2 825 374,65 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""МОСКОВСКИЙ ОБЛАСТНОЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ КЛИНИЧЕСКИЙ ИНСТИТУТ ИМ. М.Ф.ВЛАДИМИРСКОГО""",ГБУЗ МО МОНИКИ ИМ. М.Ф.ВЛАДИМИРСКОГО,7702066157,09.11.21,31.03.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛМАТОР"" (ООО ""АЛМАТОР"")",7804604541,"196191, Г. САНКТ-ПЕТЕРБУРГ 78, ПЛ. КОНСТИТУЦИИ, Д. 7, ЛИТЕРА А, ПОМЕЩ 50-Н",7-812-4549530,almatorspb@yandex.ru,
№ 3501901711021000018,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=3501901711021000018,"853 000,00 ₽","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД № 4""","МБДОУ ""ДЕТСКИЙ САД № 4""",5019017110,01.01.22,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПЬЮЛИНК ИНФРАСТРУКТУРА КАШИРА"" (ООО ""КОМПЬЮЛИНК ИНФРАСТРУКТУРА КАШИРА"")",5019028390,"142900, ОБЛ МОСКОВСКАЯ 50, Г КАШИРА, УЛ СОВЕТСКАЯ, ДОМ 28, ПОМЕЩЕНИЕ 39",7-495-737-88-66,or_kash@mail.ru,
№ 2770311106721000415,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=2770311106721000415,"1 350 228,42 ₽","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ДЕТСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ Н.Ф. ФИЛАТОВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","ГБУЗ ""ДГКБ ИМ. Н.Ф. ФИЛАТОВА ДЗМ""",7703111067,08.11.21,31.12.22,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЕРДА МЕДИКАЛ"" (ООО ""ГЕРДА МЕД"")",7709975306,"105120, Г. МОСКВА 77, ПЕР. КОСТОМАРОВСКИЙ, Д. 3, СТР. 6, ЭТАЖ 1 ПОМЕЩ. V",+7 (495) 545-08-38,ripinskaya@gerdamed.ru,
№ 1772801635121000538,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1772801635121000538,"2 524 042,80 ₽","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ЭНДОКРИНОЛОГИИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ","ФГБУ ""НМИЦ ЭНДОКРИНОЛОГИИ"" МИНЗДРАВА РОССИИ",7728016351,09.11.21,17.01.23,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИОЛАЙФ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИОЛАЙФ"")",7716759698,"129226, Г МОСКВА 77, УЛ ДОКУКИНА, ДОМ 8, СТРОЕНИЕ 1, ЭТ/ПОМ/КАБ 2/I/13",7-499-5531094,ooo.biolife@mail.ru,
№ 1770641334821000266,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1770641334821000266,"37 295 760,00 ₽","ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ ПО АТОМНОЙ ЭНЕРГИИ ""РОСАТОМ""","ГОСКОРПОРАЦИЯ ""РОСАТОМ""",7706413348,09.11.21,13.12.22,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗАВОД ""ИНВЕРТОР"" (АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗАВОД ""ИНВЕРТОР"")",5609003039,"460961, ОБЛ ОРЕНБУРГСКАЯ 56, Г ОРЕНБУРГ, ПРОЕЗД АВТОМАТИКИ, ДОМ 8",7-3532-482448,info@sbp-invertor.ru,
№ 1772200082021000205,https://zakupki.gov.ru//epz/contract/contractCard/common-info.html?reestrNumber=1772200082021000205,"6 744 161,41 ₽","ОРДЕНА ТРУДОВОГО КРАСНОГО ЗНАМЕНИ ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МОСКОВСКИЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ СВЯЗИ И ИНФОРМАТИКИ""",МТУСИ,7722000820,09.11.21,30.12.21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАСТ ТЕХНОЛОДЖИЗ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАСТ ТЕХНОЛОДЖИЗ"")",7703743429,"115533, Г. МОСКВА 77, ПР-КТ АНДРОПОВА, Д. 22, ЭТАЖ/ПОМЕЩ. 9/I КОМ. 2",7-495-1208595,info@trusttech.ru,
